pageID,text,postNum,pageNum,medication

forumstopic108574-latuda,"Hi there :) I was prescribed Latuda for my med-resistant unipolar depression.  I also take Pristiq 100mg and lamotrigine 150 mg/day.   The Latuda definitely didn't have any side effects for me.  It seems to work well with the other medications in keeping me out of the deepest hole, which is all any med has ever done for me (I'm med-resistant).  I still struggle with depression almost every day but I can function (go to work, exercise, and live my life).",2,1,latuda

forumstopic108574-latuda,"I'm on 80mg of Latuda now. I sometimes notice the restlessness every once in a while. I think there might be a weight gain component, but it's hard to tell so far. However, otherwise, I haven't noticed any other side effects with Latuda. It was worked amazingly for me depression. Doctor says I'm BPII. I'm not entirely sold on it yet, but 80mg of Latuda and 200mg of Lamictal have been working really well for me, so maybe there's something to this diagnosis. What kind of side effects have you been experiencing? The only other one I can think of is sedation and drowsiness. Which is why it is best to take at night about an hour or two before bedtime. It puts you right out. Or at least it does for me. Also, leaves me feeling refreshed when I wake up.",3,1,latuda

forumstopic108574-latuda,"I took Latuda for a few weeks, it made me very tired and restless.  My Pdoc switched me to Brintellix and that has helped.",4,1,latuda

forumstopic110937-looking-for-help-with-latuda,I have been taking latuda for about 6 months.  Lately I feel nervous.  Anyone else have anything similar?  It didn't bother me when I first started taking it and I haven't changed any of my other meds.  I can't figure out what's going on.  Anyone else have any similar experience.  Thanks.,1,1,latuda

forumstopic110937-looking-for-help-with-latuda,"Are you sure it's the Latuda?  I take that and I've been on it for about 6 months as well.  The only side effect I've noticed is it gives me bad yawning in the evening.  My pdoc has switched me to Brintellix (I haven't picked up the prescription yet) because it's supposed to have the same effect but not as sedating.  Best wishes, Lauryn",2,1,latuda

forumstopic110937-looking-for-help-with-latuda,Not sure if that's what it is.  I'm hoping its not.  I was wondering if anyone else has had this happen.  I know it says to avoid getting overheated.  I work outdoors.  I wonder if the summer heat can cause the anxiety.,3,1,latuda

forumstopic110937-looking-for-help-with-latuda,Is it anxiety? Maybe you need an increase??,4,1,latuda

forumstopic107752-latuda-and-weight-gain,Has anyone else experienced extreme weight gain on Latuda? Like ** lbs in 6 months? I already had a weight problem before i went on it :( This was my miracle drug and now i have to go off of it...... Any advice on it? Going back on to abilify.,1,1,latuda

forumstopic107752-latuda-and-weight-gain,"Is the doctor suggesting you go off is it because of weight gain or is it something you want? If it is your decision, weigh the benefits vs negatives. Can you change your eating habits and exercise habits enough to compensate for the medication?",2,1,latuda

forumstopic107752-latuda-and-weight-gain,My Doctor is not giving my shrink a choice but to take me off it. Having major withdrawls too,3,1,latuda

forumstopic107752-latuda-and-weight-gain,"Sorry to hear this.  I haven't had any weight gain on it, but I do get awfully tired in the evenings so that sometimes I'm going to bed at 7 or 8pm (unheard of for me).  I'm also sticking to an exercise program right now so that may be a reason I haven't gained weight.",4,1,latuda

forumstopic107752-latuda-and-weight-gain,"From what I've read, Latuda is supposed to be one of the first antipsychotics to cause less weight gain than its ""competitors"". But my reading also suggests that if weigh gain is going to occur it will be at doses of 60mg or higher.",5,1,latuda

forumstopic107752-latuda-and-weight-gain,I have no weight gain on latuda  but I would be really careful going on abilify that is what made me gain a lot of weight.,6,1,latuda

forumstopic107752-latuda-and-weight-gain,"I was already gaining weight to begin with, but when I started Latuda, it was like a damn broke and I exploded. I gained a bunch of weight really fast. Pdoc does not want to take me off of it as it did bring me up a little bit and refuses to believe that Latuda had any effect on my weight at all. I am still at 40mg and I don't think he plans to move it any. Of course I don't think he really wants to adjust anything I'm on. Abilify was also a big gainer for me. Geodon was the only one that stabilized my weight, but I was on a really high dose, and my depression was sinking lower so he switched to the Latuda. I really want it to work, I just can't handle the weight gain. Pdoc just says, ""get up and move"".",7,1,latuda

forumstopic112528-stopping-abilify-starting-latuda,"Hello. I've been in a state of ""deadness"" in terms of enjoyment for years, and for years, I thought it was just my lot in life, and that it would never get any better. After all, I was able to hold down a full time job. I have been on Abilify for these years. Now my doctor has me tapering down from the Abilify in order to start Latuda. I'm hoping it works but scared at the same time! I've heard mixed things on the weight gain aspect, which has been manageable on Abilify for me. Has anyone experienced the ""mask-like face"" with Latuda where you can't talk or move your eyes???  If you have a comparison story of the two meds, I'd love to hear it.  Thank you.",1,1,latuda

forumstopic115826-latuda-and-irritability,"I've been on Latuda (in addition to lithium, zoloft, and clonazepam) for two weeks now. I did a week at 20 mg and then a week at 40. I've felt great in some ways, but the past few days I've been super irritable. Usually it's stuff that would bother me anyway, but way worse right now. Has anyone experienced this on Latuda, and if so, does it go away?",1,1,latuda

forumstopic119171-akathisia-from-latuda,"I started Latuda 2 weeks ago. 20 mg for 4 days then up to 40 mg. last few nights I get horrible, anxiety, sense of dread, wanna crawl out of my body for a few hours after I take it.  Has anyone else experienced this and have you found anything to alleviate it? I want to give this med a fair shot and just wondering what others experiences are with this restlessness, agitation after taking Latuda. Thank you:)",1,1,latuda

forumstopic119171-akathisia-from-latuda,"Before I got better at taking Latuda regularly, I would get really restless when my dosage was interrupted. I would prowl around the house, searching for something without any idea as to its identity. I don't do that anymore, so there's a chance that this might improve. Success and good luck, Litany",2,1,latuda

forumstopic119268-latuda-s,,1,1,latuda

forumstopic119268-latuda-s,"Hey there, I've recently been on Latuda a grand total of 2 weeks. My psychiatrist suggested switching me over to it from Abilify, which I was on for 6 years. The only major problem that I have personally with these anti-psychotic drugs is that they make me feel over-heated and sweaty...like, constantly. Apparently that is not a common effect of that drug though. Anyway...after getting weaned off Abilify (which was painless) I enjoyed a week of not sweating....then as Latuda started to take effect on me, the sweating started up again! So I went off it. I should note that while I was on Latuda, I noticed that I was pretty drowsy, but that's normal when starting that kind of drug. Currently still on Cipralex and Cymbalta, I've been on those two drugs for 7 years. I did indeed experience weight gain while I was on Abilify, but that could be the anti-depressants...it's hard to tell in my case. That's my experience in a nutshell. Any questions, feel free to inquire. :)",2,1,latuda

forumstopic119268-latuda-s,"Sorry about the lack of responses. I'm not sure if any of my side effects, apart from the typical drowsiness, are related to Latuda because I'm on a cocktail of meds. I've experienced akathisia recently, however. I've found myself frantically searching for something, but I don't know what it is or why I'm so bent on finding it. This generally happens when I'm really tired.",3,1,latuda

forumstopic120206-increased-need-for-sleep,"Just wondering if anyone finds this med gives them increased need for sleep.  I seem to need 14 hours a night to feel rested, which is unlike me.  I'm also on lamotrigine and prozac, though, so perhaps it's one of those.  But Latuda definitely makes me sleepy about an hour after I take it, so I'm wondering if it's contributing to my need for more sleep.  If so, I'd like to come off it because my life pretty much will allow 9-10 hours of sleep, maximum.",1,1,latuda

forumstopic120206-increased-need-for-sleep,"I haven't experienced sedation after taking Latuda, but I do find myself sleeping longer in order to feel rested.",2,1,latuda

forumstopic119413-latuda-and-panic-attacks,"I posted something similar to this last week but didn't get much input so I'm trying again. i started Latuda 2 1/2 weeks ago. Was on 20 mg for 4 days & been on 40 mg since. About a week ago within an hour of taking it I've experienced a horrible, panicky feeling like I can't breathe. I'm sure it could be described as akasthisia...no uncontrollable muscle movements but just an inner unbearable restlessness and dread that is nearly impossible to describe it's so horrible. Doc prescribed me propranolol to help alleviate this and said it's a transient symptom that will go away. It doesn't seem to help much and the nights that I've taken it I literally cannot go to sleep. I've been taking clonezepam and gabapentin before I take the Latuda at bedtime & helps a little but I hate having to add even more meds to the mix. My question is: has anyone experienced this and does it go away over time? And what have you tried that helps prevent or alleviate this? its so awful I don't know if I can continue taking the medication even though I think it has helped with the depression a little at this point. Any input is greatly appreciated!",1,1,latuda

forumstopic119413-latuda-and-panic-attacks,"I don't think you should be on a medication just so you can be on a medication, that doesn't make sense to me....there are alternatives to Latuda. Also, if you're trying to combat depression, I'm surprised you were prescribed an anti-psychotic....makes more sense to me if you were prescribed an anti-depressant like Cipralex or Cymbalta or something similar. Also, I should mention that when I was on Latuda, I took 20mg for 2 weeks, and then increased it to 40, so it's possible that your doc is increasing the medication too quickly.",2,1,latuda

forumstopic119413-latuda-and-panic-attacks,"Ignis, thanks for your reply. I don't feel I'm on a medication just to be on a medication. If I didn't think I needed medication to be a functional human being that would be ideal. And I haven't always been on meds nor do I plan to stay on them indefinitely. I've been on an array of antidepressants over the years with little success. I can't take SSRIs as I have a highly adverse reaction to them as well as atypical AD's. Based on my history of meds, symptoms, genetic testing, etc...my doc thinks I'm most likely Bipolar II and after all the research I've done this leads me to think this is probably the most logical dx I've ever gotten. As I mentioned, I have noticed an improvement in depression symptoms that I've never experienced on an AD. The anxiety however.... But the panic feeling after taking Latuda makes me wonder if it's worth it & if this feeling would pass. You may be right that the dosage was increased too quickly but I was taking 40 mg for about 10 days before I experienced any of the akasthisia type symptoms after taking it. Went back down to 20 mg for 2 days and was back to the level of depression I was feeling pre-Latuda. So, now I'm back to taking clonezepam & gabapentin before I take the 40 mg dose & just pray after I take the Latuda that I won't get that feeling. Have you experienced any anxiety-related effects since starting it? Specifically after you take it?",3,1,latuda

forumstopic119413-latuda-and-panic-attacks,"No, I'm sorry I can't be of better assistance to you...Maybe this week you will get more feedback from some of the other members, don't give up hope!",4,1,latuda

forumstopic119413-latuda-and-panic-attacks,Thanks so much anyway:). Really appreciate it,5,1,latuda

forumstopic119413-latuda-and-panic-attacks,Hi I  have never heard of this med . I looked it up on drugs.com and it is usually taken daily and with food for better absorption Does it say to take at bedtime?.,6,1,latuda

forumstopic119413-latuda-and-panic-attacks,Hi thanks for your response. I actually had to stop taking it yesterday b/c I can't handle the panic attacks. Was supposed to be taken with food before bedtime & I was doing that but within an hour I would just feel awful. Even if I tried to go to bed after I took it I would wake up in the throes of a full blown panic attack. It's a newer medication approved for bipolar disorder but it was prescribed off label to me for depression & doc thinks I may have bipolar II but I'm not sure about that. I was hopeful as I read a lot of good things about it and I don't respond to antidepressants but the anxiety it gave me was too much to handle. Back to the drawing board.... ,7,1,latuda

forumstopic119413-latuda-and-panic-attacks,I'm sorry you're having so many problems with this. How are you doing now?,8,1,latuda

forumstopic119073-the-feeling-you-get-after-taking-latuda-help,"Hello, So I'm new to this site but I've been lurking around for awhile b/c of questions regarding medication... started taking meds again about 7 weeks ago after a 6 month hiatus (not a good idea btw). Started with Remeron & gained 10 lbs in 2 weeks plus it made me so sedated. Switched to wellbutrin for 3 weeks and wanted to wait it out for awhile but it made me SO depressed and anxious within an hour of taking it and was crying constantly. I've now been on Latuda for 2 weeks (NP thinks based on my reaction to AD's and my history that I'm Bipolar II). Also, I am dXed with severe depression, anxiety, PTSD (lost my brother to suicide 3 years ago due to his depression & went through a traumatic breakup with someone I thought I was going to marry about a year after I lost my brother). Was on effexor for many years but didn't really help so I'm not sure why I stayed on it, prob just fear of the withdrawal effects. Also tried Prozac and it made me feel like I was on speed (tremors, heart racing). Anyway...I think the Latuda is helping my depression but after I take it at night I get this awful, restless, panicky, wanna crawl out of my skin feeling to the point that I get scared to take it. Try to take it with 350 calories as directed but when I take it with dinner around 7/8 I feel awful and just wanna go to sleep but I can't calm down. has anyone experienced this and is there anything you do that helps alleviate this? PS- also take gabapentin 300 mg at night if needed but doesn't always help & I take .5 mg klonopin which helps me sleep but don't want to get dependent on it as benzos can be habit forming. sorry about the novel...just wanted to give background info. Any input would be helpful!! thanks   ",1,1,latuda

forumstopic119073-the-feeling-you-get-after-taking-latuda-help,Hopefully it's a side effect that will fade.  I'm on Latuda but the only thing it gives me is serious yawns after about an hour.,2,1,latuda

forumstopic119073-the-feeling-you-get-after-taking-latuda-help,"I notice I sometimes get a feeling of doom after taking latuda.  It's a weird type of ""heavy/tired anxiety"" as opposed to the normal anxiety that makes you feel antsy.  I'd almost prefer the normal type of anxiety.  I hate that doom feeling.  It is awful.  All anti-psychotics cause me to feel this way at first.  I also sometimes notice a tingle sensation in my bones and a feeling of being slightly ill, almost a little nauseous.",3,1,latuda

forumstopic119073-the-feeling-you-get-after-taking-latuda-help,"I took Latuda and remember enjoying it. I started at 40mg, went up to 60mg to try and reach an appropriate target dose but found that 60mg wasn't enough for my bipolar depression. Went to 80mg, but at that point the akathisia was intolerable. I can say that I had feelings of restlessness at all 3 doses but the intensity was proportionate to the dose. Even on 40mg though I experienced restlessness so we stopped it. I know some pdocs are okay prescribing Cogentin (benztropine) to treat the restlessness but mine is very much of the mindsight that if it doesn't go away on its own then you shouldn't be taking it. Because even if you take an anticholinergic drug like Cogentin to quell the restlessness, damage could still be happening in the background, e.g. tardive dyskinesia. I felt that Latuda was very therapeutically effective. However, the necessary therapeutic dose caused too much akathisia. I can definitely +1 what you are experiencing. That being said, I did not feel that kind of butterfly feeling in your chest and stomach like you're nervous or on edge as if something cataclysmic is about to happen right after taking it. Pretty much every antipsychotic hits me like a train and I pass out in an hour and a half or less. I only experienced the restlessness during the day which was essentially composed of bouncy, restless legs when sitting down and needing to constantly get up and walk around.",4,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"I'm curious because my information sheet lists it as a viable medication for a host of conditions, none of which are OCD. I haven't maxed out my other medications (I take 150 mg Zoloft and 100 mg Wellbutrin). The reasoning behind this was to reduce the amount of time it takes me to regain focus after I have intrusive thoughts. Anyone else take or have taken Latuda for OCD, and if so, is it effective? Thanks, Devin",1,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"Hi Devin, I was diagnosed with OCD and Bipolar 1. I just recently got prescribed Latuda for both, mainly for the depressive episode I am in. It is used for OCD seldomly, usually in cases that involve treatment-resistant patients. I don't know the totality of your situation, but I hope that it helps you. I just started it and it is too soon to report any real changes. It should help us though, as I really hope it well. Best, Sitting In A Dark Room",2,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"Update: Latuda has helped me so much more than I ever thought it would. My OCD has been axed (reduced from 5 compulsions to 2 compulsions really easily), and it seems to have eased my depressive symptoms extraordinarily well. It has done both of these things much better than my high-dose SSRI has. I would recommend trying out this medication, it has worked miracles for me. Thank you, sittinginadarkroom. I hope this medication has helped you as much as it has me.",3,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"Hi Litany, Im wondering if your still benefitting from the Latuda. Can you give us an update.  ",4,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"Definitely! Things are still going really well. I don't feel quite as perky anymore but I am quite pleased by the sustained improvement I have experienced. Would still recommend, though I have come to learn that it is most effective in combination with an SSRI. Good luck with Latuda, or any other medication you may take.",5,1,latuda

forumstopic115852-recently-prescribed-latuda-for-ocd-is-this-unusual,"Your psychiatrists thinking is likely that antipsychotics are good at suppressing intrusive thoughts. Latuda did a good job of this for me, but not as good as I needed it to be considering the therapeutic dose wasn't tolerable due to side effects. Akathisia specifically. It was pretty bad for me. But it was only really bad at 80mg. 40mg I almost didn't know it was there and 60mg I knew but it wasn't too incredibly distracting to me. But I did get a talking to at work about not being at my desk enough and being outside smoking a lot.",6,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"Anyone that is on Latuda, can you tell me when it started working for you, dosage, side effects, when or if they went away, and when it started really working.  I have BP II depression and was put on it Friday and today is Sunday and I can already feel a difference.  My terrible morning crying spells are gone and unlike Seroquel, I don't feel like a zombie.  I'm on 40 mg and take it at night with 350 calorie meal.  I do wake up every two hours though which is a pain.  It only makes me vaguely sleepy.  I'm wondering if this truly has the potential of actually making me my old happy self again and when or if this is it, meaning it stops the crying and horrid morning, can't get off the couch feeling.  Any help with positive experiences would be appreciated.  The more detail, the better.",1,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,I started Latuda about 7 months ago.  It worked great without any noticeable side effects.  In the past few weeks I have been waking up during the night with anxiety attacks. I take ambien to get to sleep but on most nights I still wake up at 3 or 4 a.m.  I saw my pdoc last week and he upped my dose from 30 to 40.  I haven't had as many episodes.  I still feel like my depression is getting worse.  When I wake up with the anxiety it seems to stay with me through the rest of the day.  I am hoping this is temporary.  The doc told me to give it three weeks to see if it improves.  Sometimes I take it with the evening meal because I have trouble remembering to take it.  When I do I often get a feeling of being anxious and sleepy at the same time.  I was wondering if you had any of these problems and did they go away.  I hope it keeps working for you.  Maybe mine is temporary.  I hope I don't have to go through another med change.  Good luck.,2,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"I actually stopped it after two weeks bc my depression got worse and after trying so many antipsychotics for depression, came to the conclusion that they just DO NOT work for me.  I now just take Cymbalta, Trileptal and Provigil and am finally feeling much better.  I have BP II but no other symptoms other than a slight and Iran slight amt. of mania and always severe episodes of depression so I am done with antipsychotics.  I hope it works better for you.",3,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,I was on 40mg Latuda a while back (within the past year) and it literally did nothing. Absolutely nothing. I have unipolar treatment resistent depression with psychotic features. I had no physical side effects and absolutely zero mental effects. So I got off it and went back to my 4mg Risperdal. Good luck!,4,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"I also had a severe worsening of depression. I have never before felt like sleeping all day and isolating, but after tapering off of Abilify and starting Latuda, I was in the worst depression I had ever had in my life.  You're not alone! I had to go back on Abilify after a few days of Latuda. Now at least I'm functioning.",5,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"I just started Latuda today, will give an update in a few weeks.",6,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"Pdoc mentioned Latuda today due to worsening symptoms of depression. Based on testimony here I think I'll pass. Thanks for sharing, guys. Makes choices like this easier. Xo, C",7,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"I noticed a significant effect from just 40mg. It was like a light switch. Night and day. My doctor wanted me to go up to 60mg, which we did. But my depression was getting worse, and we were coming up on Fall at this point, and having seasonal affective disorder it was guaranteed that things would continue to get worse. We tried to go up to 80mg but at 60mg and even more so at 80mg, I felt too much restlessness during the day. Bouncy legs and needing to get up and walk around. In retrospect, I could have gotten by with 40mg of Latuda if I had been taking an antidepressant. Hindsight is certainly 20/20 but I can only speculate at this point.",8,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"Have been on 80mg for 18 months now and it works great on my depression. It started to work after just 2 days. I take it with Lamictal for bipolar n.o.s. (That's somewhere between type 1 and 2, I think). Major side effect for me is an increased need for sleep... I sleep 9 hours a night now when I was sleeping just 6 before.",9,1,latuda

forumstopic111609-experiences-with-latudaplease-respond,"I'm seriously considering talking with my pdoc about going back on Latuda. I'm taking: 900mg Trileptal, 200mg Lamictal, 174mg Aplenzin, 2.5mg Zyprexa The Zyprexa is making me gain hella weight. And my lipid panel is already terrible. The Trileptal is doing a good job on its own though of keeping me from getting snappy and irritable. And because it's immediate release, I know it's working because if I miss a dose, I get pretty reactive and touchy. The fact that happens though makes me feel even better about it. I do feel at this point that Trileptal, Lamictal, and Aplenzin are staple drugs for me that I don't want to get rid of. But Zyprexa feels like tough love. It's great for depression and mania. But at this point, Trileptal is handling the mania well, and when I try to go down to 2.5mg of Zyprexa (have been taking 5mg) my depression gets worse but I don't get that much more irritable, if at all. So if that really is the case, I want to shop elsewhere for something that isn't going to make me blow up like the Michelin man. Latuda really worked well for my depression, and if you see my post further up, I felt at the time that I probably could have gotten by with 40mg had I been taking an AD, which I am now! Aplenzin is really good at helping me to find pleasure in things around me. SSRIs kept me from feeling sad. But Aplenzin (eq. to Wellbutrin XL) really helps me to get happy about things and feel genuine emotions. If that is the case, I wonder how Aplenzin and Latuda would behave together. Is there anyone out there who has taken Wellbutrin with Latuda? Even Wellbutrin with an antipsychotic?",10,1,latuda

