postNum,pageNum,pageID,medication,text
9,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"I feel the need to speak here in defense of Paxil. 8 years ago I suffered from major anxiety/panic/depression/illusions and distortions in my perception/paranoia, severe weight loss, etc. I was seeing things on walls, on floors, on blank pieces of paper. I woke up every morning with a sick, sick feeling of terror. I cried endlessly. I experienced obsessive thoughts. I stayed in bed and was sure my life was over and done with. I wanted it to end. It was too much pain to deal with. Then I was prescribed Paxil after trying some other drugs without success. Within 2 months I regained my ENTIRE life back; not just 50% of my life, not just 75% or 90% but 100% of my life back. The depression went away, the anxiety went away, the panic went away, the illusions/hallucinations went away, I regained my appetite and regained the weight I lost. The next seven years were the best 7 years of my life and I have Paxil to thank for it. I relapsed again do to Compazine, prescribed to me November 2010 for a bad, bad migraine. That drug made my want to take my life and has since destroyed my life. I've tried many ssri's and mood stabilizers with not much good to speak of. I am on my road back to Paxil, which I should be on at the end of the month and only hope it can have the same affect on me as it the first time. Even if doesn't work the second time around, I'll never forget what it did for me. My life was being held hostage and Paxil set me free and did so for the past 7 years, allowing me to live life to the fullest. I am forever grateful to the drug and the company that created it. I am sorry if Paxil did not work well for any of you. But it certainly did for me and my brother. But if you ask me about a drug inducing suicidal ideation, I'd point to Compazine. Truth is, we're all different and drugs interact within us differently. I decided to share this because Paxil gets a bad rep a lot of times. But rarely ever do we hear good about it. I sympathize with all of you. We are all sharing the same problems. And I know what its like for a drug to make you wanna **** yourself. I experienced that with Compazine which has a history of such adverse reactions."

10,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"Ditto... Same for me. Paxil really helped change my life. I HIGHLY recommend combining it with a good therapist who teaches CBT. I agree with you about Paxil having a bad rap. When people have a bad re action to a drug, they google it and come to forums, much like these, and jump on the anti drugs bandwagon. The thing is though, when people get success from medication, they are less likely to jump on forums and let everyone know its working, they will be just getting on with their lives... My opinion anyway..."

11,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"I was suicidal before anti-depressants, I was after I started taking them, Paxil included.  Part of being BPD I guess."

12,1,forumstopic5451-fda-warns-of-suicide-risk-for-paxil,paxil_seroxat,"Exactly. You said it perfectly. When people get better, they get on with their lives and are less likely to come back and post. To a certain degree I understand that, but I think it's important for everyone to report their success too so other people know it may help them. We're all in the same boat."

1,1,forumstopic119576-starting-up-paxil-again,paxil_seroxat,"Hey everyone.  I've started up Paxil again a few weeks ago.  I was on it for a few months a couple of years ago.  The thing is, I don't remember any withdrawal symptoms back when I stopped taking it the first time.  I didn't think there were any, but after reading the posts about them, I've been worrying about it.  I've never liked the idea of popping pills for these kind of mental issues to begin with. Can anyone elaborate on the withdrawal symptoms of Paxil?  How long do you have to be on it in order for withdrawal symptoms to take place once stopping it?  I've been cycling on it.  Taking it for a week or 2, stopping it for a few days here or there.  Has anyone done this and will this offset the possibility of withdrawal?  Or will that just take away the drugs effectiveness?  Because I do think the drug helps, but I would much rather not have to rely on pills to fix my mental issues."

2,1,forumstopic119576-starting-up-paxil-again,paxil_seroxat,"Hi, I'm quite used to Paxil withdrawals so I can help you on this. I switched from Paxil to Prozac recently but didn't prevent me from feeling withdrawals. I was unable to quit Paxil, so I had to add another medication to cope with the withdrawals. I suffered from strong depression symptoms, OCD, brain zap and insomnia while coming off it. After 2 months I was still feeling horrible so I had to add Prozac. I think some people have stronger symptoms than others and many seems to have mild withdrawals for 2 weeks only, unlike me. You seem to be part of the lucky ones. Still I would not advise you to stop it for a few days and take it again the next day. The best idea is to cut the pills very slowly and wait a while until you adjust. That's what doctor always told me. Best of luck!"

1,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,"Hello, I have been taking Paroxetine 20mg for 2 days now and was just wondering when people started getting their side effects. I am unsure if I have encountered any of the commons ones yet. I have General Anxiety Disorder with very mild depression."

2,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,"hi mike the first is the worst sexual disfunction, i have been on it 13yrs it will poop out its addicting you feel the side affects nothing else please try cognitive behavioral therepy if this is you first ssri try prozac /flouxetine if you can dont take anything it will make you feel real good when well it depends on your metabolizm"

3,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,What?

4,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,google paroxetine long term use

5,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,I was 9 years old it was horrible. please consider other alternatives for a fulfilling life. Im not free of the permanent damages

6,1,forumstopic118271-paroxetine-and-side-effects,paxil_seroxat,"It worked great for awhile but  even then it was a disaster for sexual function. Later, the fatigue it caused was even worse than the sexual dysfunction. If not for those two godawful side effects I'f still take it but the adverse side effects were unbearable."

1,1,forumstopic121112-prescribed-viagra-for-sexual-side-effects,paxil_seroxat,"I'm back on Paroxetine again after failed attempts on other drugs. The reason I came off it in the first place before was due to the sexual side effects. This time around though I thought I'd grin and bear it. However the sexual side effects are very troubling for me. I'm currently 2 weeks into taking 30mg's, I was taking 20mg's for a month prior to the increase. On 20mg I found no problems getting an erection but found it very hard to ejaculate. Now on 30mg I can't even get an erection, I feel no sexual desire at all. The drug is working well despite this side effect though. I went to the Doctors today to talk about this issue. He gave me two options, either go back to 20mg's or I could be prescribed Viagra. I was a little surprised by this suggestion but I thought I'd try it out nonetheless. I haven't taken it yet because I'm a little nervous to do so. Has anyone here been prescribed Viagra to help with their sexual side effects? If so how did you find it?"

2,1,forumstopic121112-prescribed-viagra-for-sexual-side-effects,paxil_seroxat,Thoughts? Anyone?

3,1,forumstopic121112-prescribed-viagra-for-sexual-side-effects,paxil_seroxat,The sexual side effects will ruin most  people's sexual life. Ruining one's sex life is extremely depressing.

1,1,forumstopic106461-paxil-vs-paxil-cr,paxil_seroxat,"Hello Everyone, I have been reading several entries on this site for the past week. I have been Celexa for the past 14 years and this year with increased stress and other family stuff I got very depressed and anxious and my OCD really flared up. My celexa just couldnt ""protect"" me like it did. My doc gave me all kinds of options from adding Wellbutrin, to Effexor, to Ciprolex. I chose Paxil again because I did take it 14 years ago, the only reason I went of it is because of the weight gain. I am on day 4 of 10mg while coming down on the Celexa, of 50mg. Today my other doc to take the CR Paxil instead as it will probably have less side effects. I am having so many side effects on the 10 mg already like awful headaches, so tired, tummy ache. my questions are did anyone notice less side effects on the CR vs Paxil? I think I am feeling better but still have a lot of anxiety and depression... how long did it take for everyone to feel better? Thanks so much.... this site is great!"

2,1,forumstopic106461-paxil-vs-paxil-cr,paxil_seroxat,"I have a great deal of personal experience with Paxil CR and Paxil. I can tell a great deal of difference in the way the two medications make me feel. I prefer Paxil CR a great deal more than Paxil. Paxil CR will alleviate depression a great deal whereas Paxil keeps my mind from wandering. As far as sexual side effects go, Paxil CR just ******s my libido. It causes delayed ejaculation as well. I can't say that I've noticed a great deal in the lessening of side effects between the two. Once I stopped taking Paxil CR I would say it was about three weeks until my libido really came back."

3,1,forumstopic106461-paxil-vs-paxil-cr,paxil_seroxat,"Paxil CR, I found, was much worse than Paxil for  sexual dysfunction. Why?, because it lasts longer. If you wait  24 or 48 hours after regular Paxil you regain some of your sexual capability. With Paxil CR, it takes much longer. Mostly it's just a patent extender with no other purpose than  to make more money for Glaxo-Smith-Kline."

1,1,forumstopic121748-paxil-free-1st-post,paxil_seroxat,"Greetings all - I am new to this forum and this is my first post.  My questions are directed to those Paxil users who have successfully gotten off the drug. A little background - I was on 25mg of Paxil for 8 years.  Weaned off and went on to Lexapro for 6 months.  Weaned off the Lexapro and have been SSRI free since January 12, 2016.  The past 6 months have been interesting to say the least. Since being off the medication and going through the withdrawal effects - head zaps, dizziness, increased anxiety and the Paxil flu, I still get a few withdrawal symptoms.  Most notably, a cold numbness in my forehead with a slight bit of head zap/dizziness.  Also, since being off the drug, I get a few PVCS (heart flip flop).  The PVCS started 3 months into my withdrawal.  They have subsided but every once in awhile, I feel a few.  My theory is my brain has been bruised and it may take a year or perhaps longer until I feel like myself pre Paxil.  I am asking those who are off the drug if symptoms of withdrawal and other strange things happen months after the last dose.  Is it safe to assume it may take a long time to completely heal?  I am blessed with great health insurance and am pro active with my health.  Blood numbers and health is good although, the 20 pounds gained while on Paxil is slowly starting to come off - this is a stubborn task.  Occasionally, when the anxiety rears it's ugly head, I take .5mg of Ativan.  This a fun little drug but, I make every attempt to not take a pill. I look forward to comments.  Many thanks. PAXIL FREE!!!!! "

1,1,forumstopic122112-paxil-how-to-get-motivated,paxil_seroxat,"I've seen a couple other posts on this forum along the same lines, but how can I get motivated to exercise and be active while on Paxil?  I'm going on Paxil for the 3rd time in a couple years.  I've tried going off twice, once because I just felt great and wanted to see if I could go it without the meds, and the second time because it made me so lethargic I wanted to try something else.  I tried Wellbutrin, and it took me 2 tries, and it just doesn't work for me. The first time I went on Paxil (that's a whole different long story) it worked almost immediately for my anxiety, helped me focus, and stopped the flip-flopping between anxiety and depression.  It always felt like I had a house party going on in my head, where 50 people are talking and yelling, but you can't really tell what any one person is saying.  And after starting on Paxil, I would actually finish projects I started, instead of leaving a bunch of things half-done.  My wife and I even worked on something together without fighting, that's when I knew the meds were working. I am normally very active, and enjoy exercising, but on Paxil I just don't feel like doing anything.  I haven't gone over 20mg a day because that alone makes me tired enough.  But 10mg just doesn't seem like enough to help me keep it together. I've tried natural supplements and amino acids, and eating as healthy as I can.  I have a demanding job, a wife and 2 young kids, so its hard to have the will power to eat perfectly and exercise every day.  Sometimes I think I should just stay on the Paxil until it doesn't work anymore, but after awhile I just get sick of the numbness of it and want to feel alive again.  The odd thing is, on Paxil, I feel like I'm probably ""normal.""  I just slog along day after day, without really questioning why or what I'm doing, or worry too much about the past, or the future.  But I don't really feel like I'm living.  More than anything, the Paxil helps me cope with the constant stimulation of dealing with people at work, having a wife who has to be in charge all the time, and then kids doing aggravating kid things. Sorry, this got pretty rambling, but my main question is, how can I motivate myself to get active while on Paxil?  I'd prefer not to try other medications because the goal is to not be medicated.  I'm hesitant to try anything else because I know it works for me.  I also know I have to eat healthy and exercise to really make things better.  I can't just depend on Paxil to work for me forever."

2,1,forumstopic122112-paxil-how-to-get-motivated,paxil_seroxat,"Well, my first suggestion would be adding Wellbutrin to the Paxil.  Wellbutrin is often paired with an SSRI.  But if you want a non-medicine solution my advice is self-hypnosis.  There are some good ones on YouTube.  Or you could go to a hypnotist.  Or a regular counselor.  Or get yourself a personal trainer for motivation. Good luck!"

3,1,forumstopic122112-paxil-how-to-get-motivated,paxil_seroxat,"Do people take Wellbutrin at the same time as the Paxil?  Or alternating times?  Full doses of each?  I guess I've heard of that approach, but never really thought of it. I take 10mg of Paxil late morning, and the other 10 late afternoon.  Taking all 20mg at once was too much for me, and I never got adjusted to it.  I was super tired and sluggish all the time, until I started splitting it up."

1,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,It can make you tired at first but it seems to go away.

2,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"Hi, I'm New to this forum and the paxil medication. I'm 47 yo and I'm supposed to start taking my first dose tonight. I've read a lot of you all post I found them to be very helpful, only I don't mind the weight gain,but I'm terrified of losing sleep and not having energy being that I work on an assembly line 10 hours a day, that won't be good for me. Well congratulations on everyone's positive progress and pray for me. PS: anyone no how long before you start to gain weight on paxil?"

3,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"Mo,  Good luck and be patient.  It may take some time to take effect and some moods/sensations during the first week or so could be your body getting used to it.  I know for me, it increased Anxiety at first but eventually did a lot to help.  I'm very likely going back on it soon.  I don't think Paxil itself gave me weight gain. Just watch your diet and exercise.  Remember you have control!"

4,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"Hi l tried to go off Paxil, but had bad side effects. So after a week l started it again, and find it has a lot of side effects. And l still have to increase, to 30mg. What l was on before. The last couple of days l have been weepy, sorta sad, is that a side effect to.      "

5,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"Just started Paxil maybe a week and a half ago.  It's been hell on me so far.  I think I'm on 10 mg.  I've taken it in the past, back in 2014 when I was having a real hard time during a bad internship.  I don't remember exactly how I felt on it 2 years ago, but it had to have been better than how I feel now.  Maybe it's my body getting used to it.  I haven't been sleeping well at all and I think I might be gaining some weight."

6,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"Great for anxiety and  depression,  horrible for sexual problems and fatigue. For me, negative effects  outweighed the benefits."

7,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"I loved Paxil when I was on it.  I had no weight gain, and what sexual side effects I did have went away after about 8 weeks. The trouble began when it suddenly just stopped working.  It worked like a charm for six years, then dropped me off a cliff, so to speak, and I had a long way to climb out of it. Try taking it at night when you have your next day off.  If you find it keeps awake, take it during the day.  I always took mine at night, and was sorry to have to leave it behind. I now take Wellbutrin, and experienced unpleasant sexual side effects at first, but after about 3 months, my orgasm difficulty vanished. My cue is that if an antidepressant--even for a few days--makes me feel panicked and s.u.i.c.i.d.a.l., I stop it immediately.  My doctor tried to add Brentellix to my already working Wellbutrin, and it was AWFUL.  I became weepy and hopeless and afraid I might end my life.  So, for now, it's just 300 mg. of Wellbutrin and 5 mg. diazepam, and most days I feel like I have hope for better things. I wish you much success in this challenging time."

8,2,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=2,paxil_seroxat,"I have been on generic peroxetine for about 3 years.  Once I went on it I noticed a positive change almost immediately.  I've gone off of it 3 different times, but keep coming back because it helps me so much with social anxiety, mood swings, etc.  I used to be very quick to anger, and always flip-flopping between anxiety and depression.  I like who I am on it, because I'm calm, focused, not at all anxious or panicky, not depressed.  I feel ""normal,"" like I am who I think I should be. Except that I'm tired and sluggish all the time, which is the opposite of the unmedicated me.  And I try to stay on the lowest possible dose that I know helps.  I haven't gained much weight, but I've always been skinny so I can tell I'm starting to the last couple years.  It takes me so long to ""wake up"" in the morning and get motivated to try and exercise. After a while I feel good mentally but get sick of the feeling of numbness so I try to get off of it.  But I can feel the change almost immediately, and don't want to risk what might happen to give it enough time to stay off.  I tried Wellbutrin but it didn't work for me at all.  I'd like to try something else, but am afraid that it either won't work, or will take too long to start working and what will happen in the mean time."

1,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I take 45 mg. of Paroxetine (Paxil).  It has kept my depression level.  I have taken it for 20 plus years.  I stopped once for two weeks and got severely depressed, worse than I ever was.  After trying many meds to get rid of the depression, Wellbutrin with Xanex finally worked then I was able to go back to the Paxil but at the higher dose of 45mg.  Doing well gained weight and cant lose more than a couple of lbs.  If you take Paxil or one of the above that is like it, how are you doing?  I would love to hear your experience with it.  Seems like not too many people take it anymore.  Thanks!! Gentle Sun"

2,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I took Paxil for a couple of years and it really helped w/ my anxiety/depression. Unfortunately, it made me really really mellow. I didn't like that feeling so my doc switched me to Effexor. I didn't have any problem w/ weight gain, but I am a workout aholic lol. My dosage was about the same as yours if I remember correctly. Sorry, wish I could be more help. Although I started feeling depressed today, the Effexor usually has me in high spirits and energetic. Good Luck!"

3,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Thanks Tbone for the reply!!  Yeah, I have taken it so long now it may turn me into a tailspin to be off it.  I dont know.  In one way, I think Im not depressed so dont mess with it.  Then again, if I could lose this weight it would help my health and I would like to see how it feels to be me again.  Although I have been a Paxil me for so long, I dont know.  I was able to reduce it by 5 mg.  It took me about a year.  I tried to get to 40 but started getting depressed again and I didnt want it to get worse so went back to the 45.  I guess I will figure this out somehow.  Maybe I will try getting the liquid and try going down 1 mg. at a time slowly. So glad to hear Effexor is helping you.  And, thanks so much for your reply!!!"

4,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Hi Gentle Sun I was on Paxil from 1999 to 2001…  I can't remember the exact dosage… but the result were not good… I gained 50 pounds (and I walked/biked everywhere I went because I didn't have a car… and I have had severe bulimia in the past) , so I have always watched what I ate)  so the weight gain put me back into a purge cycle..  I became so lethargic -  I felt so dumb, bloated  and slow…and I was so so depressed about my weight gain… but I couldn't figure out why I was gaining weight,, it didn't dawn on me that it was the paxil  until when I finally pick up my last bottle of this evil stuff.. I just happened to read the information)  MAY CAUSE WEIGHT GAIN… well it does…. there was no  ""may"" about it… it stopped my metabolism…  I weaned myself off for like a week…. and then I just stopped… My god! I had lightening storms that went off in my head!!  I had vertigo…. I felt dizzy… my eyes blurred, I had a constant headache, I was nauseated all the time-  this went on for more than a month… but all the while I kept walking, biking,  eating my salads,,  got my bulimia under control and the weight just melted off within 3 months… maybe it was water bloat,, I don't know… but I won't go any where near an anti depressant which side effects say ""May gain weight""  you know, I think  the language in the side effect information now just says ""changes in weight""  not saying if it will or will not cause weight gain… I know everyone reacts differently on medications… but that is what happened to me during my paxil daze .  I take Wellbutrin during the day and Trazodone at night. Wellbutrin is the only one I know that says ""Decrease in  Weight""   and trazodone is an old anti-depressant that hardly has any side effects except it puts you to sleep and you might have a dry mouth and weird dreams.. but that's ok  the dreams are sometimes inspiring "

5,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Wow, SoulSurvivor, you really had quite an experience with it.  Im assuming all the side effects vertigo, nausea, headache, lightning storms etc. finally all went away?  You were brave to stick it out a whole month with all that!!  Did you get depressed also during that time?  That is so great that the weight melted off and you are doing really well now. So far, I have tapered using liquid form to 41 or 42 mg. from 45.  Its been 13 days and Im doing really well, so far.  So, we shall see how it goes.  I would love to lose weight like you did.  I gained about 40 lbs since I started taking it.  If I can lose some of that I will be happy. Glad you are doing so well!!  Thanks for your reply!"

6,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Hi Gentle Sun, If you want to get the weight off… you may want to try something else, seriously, Paxil stops the metabolism and no matter what, you can't burn that fat off… yes,  the vertigo, nausea and lightening shows finally ceased fire… but I swear sometimes taking Paxil made my brain more depressed…. if it had the power to stop metabolism… what else did it do that may have a long term or life long effect?  but I guess, we can say that about most of these anti-depressants"

7,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"When you think about it like that, it does make you wonder.  I took Wellbutrin before but had to add Xanax due to bad anxiety.  Then the Xanax started making me weird.  Glad its working well for you.  Funny how we all react differently."

8,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,I had a great experience with it. I was taking 60 mg and was on it 20+ years. It was the only med that gave me the boost that I needed but recently it wasn't working as well so I got off it and started taking Effexor.

9,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"How is the Effexor doing for you, Eleanor?  Yeah, I cant really complain.  I have had good luck with Paxil for many many years.  If it wasnt for the weight thing (and really I have adjusted to that) and the concern about taking it too long and organ problems, I would keep on it.  Most likely I will still take it but maybe a lower dose will work.  Well, we shall see.  So far Im down to 40 for the last week and no problems.  Getting below 40 makes me a little nervous but I used to take 20 for years and only had to go higher when I tried stopping way too fast and hit rock bottom. Did the 60 just quit working, what did you notice happening?"

10,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Hi gentle sun, I found that Paxil was making me gain weight so I stopped it ot was 60mg , my doctor has me also on wellbutrin 40mg,  I stayed on that, it has not put weight on me but it has not helped with my depression.  Good luck finding the right med for you ."

11,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Thanks, Goin.  I took Wellbutrin when I hit rock bottom from stopping the Paxil that one time.  It worked on the depression but made me very anxious.  Maybe Abilify to add to it for you?"

12,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I forgot the dosage, was years ago, but of all the anti-depressants I've had(prozac, lexapro, remeron), Paxil was the best.. the only reason I got off it was the same reason I got off of lexapro - insomnia."

13,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Wow, it didnt give me insomnia but rather made me tired.  Yeah, have to agree with you, it works the best for me too.  Did you lose weight when you got off it?"

14,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Goin, did you lose weight getting off it?"

15,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Yes I have actually ,"

16,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,&nbsp;

17,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I am a 43 yo man and went on Paxil for depression and anxiety. After terrible side effects of Cymbalta (agitation, panic attacks) I switched. I have now been on generic paroxetine 20mg for about 4 months. Initially the sexual side effects were disconcerting... like my libido just switched off. It was disturbing but I was so busy at work and with the holidays, I just continued taking the Paxil. During this time my depression and anxiety improved dramatically.. I felt like myself again. Over the past 3-4 weeks I have noticed my libido returning. Morning erections and what for me is normal sexual desire have mostly returned. During my depression I think my sexual feelings were almost manic in nature so it's hard to totally compare. Worst side effect is weight gain.. since starting on Paxil I have gained around 20 pounds and I am not happy with how this is making me look and feel. I am an active person with normal range weight / height but I weigh more now than I ever have. I will be asking my Dr about it soon."

18,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I take 60mg of Paxil a day, I hate it, I've always hated it. In larger doses it seemed to make me feel a tiny amount calmer (I have panic disorder), however I never saw much more than that. I had a tremendous amount of side effects from taking it, but every time I have attempted to ween off of it, the withdrawl is just too much. If I take it, it makes me feel more leveled out, but I think what I am feeling is relief from the horrid way I feel when it's not in my system and working. I'm sorry, I don't mean to sound all gloom and doom, but I have gone through hell with this medication. Where I may have felt a little more calm, Paxil has caused a great amount of side effects that bother me the longer I have gone without it. I wish I had something nice to say... um, my pills are a pretty shade of pink? :)"

19,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,Well I am titrating down from Paxil.  I was on 50 mg.  Now its 35 mg. using the liquid form.  I only decreased my 10 percent per month and watched carefully how I was feeling.  Decided to stay at 35 mg. for another month then will try 32mg.  Feeling very good!  Now if my weight goes down I will feel fantastic but I have been at this weight for so long I kind of doubt it will change - I will have to work at it.

20,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"I was on 40 mg of paxil for a year, then things got a bit rocky and my p-doc bumped me up to 50mg of paxil and 25 mg of seroquel. Things went ""ok"" for about a year, and now things are getting a bit rocky in the last few weeks.  About a week ago my p-doc put me on 20mg paxil, 25 mg seroquel and 150 mg of effexor. It has only been a week on the new meds, and the mood swings are challenging.  I can be fine, then turn into a blubbering ball of tears for an hour and then be perfectly fine again.  I really hope this settles down, because it is exhausting for those around me."

21,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,

22,1,forumstopic103643-what-is-your-experience-with-paxil-what-is-your-dosage-have-you-gained-weight-how-do-you-feel-on-it?page=1,paxil_seroxat,"Caprica, How has the mix w the effexor working for u? Hope it helped! :)"

