medication,pageID,pageNum,postNum,text
viibryd_vilazodone,forumstopic107328-viibryd,1,7,"Been on Viibryd for about 6 months.  Seems to be losing its effectiveness.  I wonder if they have done any studies with dosages higher than 40mg.  I feel like it's working, but I need more.  I always seem to need the max dosages for medications to be effective.  My pdoc started me back on Wellbutrin about a month ago.  I had to stop taking it because it didn't interact well with Brintellix.  Now I'm back to 300mg.  I was taking 450mg when I was taking it with Cymbalta.  My depression overall seems better.  But I can't seem to shake this weight gain I got from taking prednisone after some eye surgeries.  My doctors are telling me to lose the weight, for my health and for my sleep apnea.  I am going to look into Planet Fitness.  I can pass by one on the way home if I go a certain way, and they are also building one near where I work.  I think once you join you can go to any location.  Anyone with any comments about them, feel free to post.  Exercise is also supposed to help with depression."

viibryd_vilazodone,forumstopic114422-viibryd-abilify-buspar-was-working-for-about-a-week,1,1,"Hi everyone,  I take 30mg Viibryd along with 2mg Abilify and 15mg Buspar (2x a day) for depression and anxiety.  I have been on that combo for about 6 weeks or so and about a week and a half ago I started feeling relief.  It lasted for about a week which is a longer string of days than I have had in the past 3 years.  I was really hopeful and then all of the sudden in the past couple of days I have started feeling the same empty feeling/negative thinking that has bothered me for the past 3 years.  Is it typical with the drugs I am on to get relief followed by regression?  I was expecting that relief would be followed by continued relief.  Thanks! Chad"

viibryd_vilazodone,forumstopic114975-will-viibryd-help-me,1,1,"I have been on 17 meds. Prozac worked the first time I took it but not the second.mpaxil helped but I don't remember why I stopped taking it. Lexapro worked for years but pooped out on me. I took vii a few months ago and on the 7th day I felt really good, however I had a completely sleepless night and it scared me so I stopped it. I have given it a second try and am at day 8 at 10mg and no effect yet. I also take Geodon and Seroquel which both work for me but I am still very depressed. What are my chances of vii working for me with this history?"

viibryd_vilazodone,forumstopic114978-will-viibryd-help-me,1,1,"I have been on 17 meds. Prozac worked the first time I took it but not the second.mpaxil helped but I don't remember why I stopped taking it. Lexapro worked for years but pooped out on me. I took vii a few months ago and on the 7th day I felt really good, however I had a completely sleepless night and it scared me so I stopped it. I have given it a second try and am at day 8 at 10mg and no effect yet. I also take Geodon and Seroquel which both work for me but I am still very depressed. What are my chances of vii working for me with this history?"

viibryd_vilazodone,forumstopic114131-is-this-truly-a-sign-of-a-serotonin-imbalance,1,1,"I’ve been taking Viibryd for the past 7 weeks, 20mg for the last 4.  I was not expecting much, if anything but over the last couple of weeks, my overwhelming doom and gloom feelings have gone away.  I haven’t changed my routine much in terms of exercise or discussions.  My question is this.  Is this an indication that there truly is a serotonin imbalance or would these effects happen to a person with a normal serotonin level.  I.e. there is no imbalance and the effects are what anyone would experience.  I keep finding a bunch of stuff that these SSRI’s are rubbish but am surprised this is working well.  Sorry if this is a stupid question."

viibryd_vilazodone,forumstopic114131-is-this-truly-a-sign-of-a-serotonin-imbalance,1,2,"HI there.  I think you are asking a good question - nothing stupid about it at all!  I wish I knew the answer.  I just don't, sorry to say.  But the good thing is that you are feeling somewhat better.  I hope that you continue to feel better still.  Maybe someone else with more insight can comment here."

viibryd_vilazodone,forumstopic114131-is-this-truly-a-sign-of-a-serotonin-imbalance,1,3,I hope someone replies to your questions soon so I can learn from the answers and experience.  I am in day 3 of Viibryd and have never taken these types of drugs before.  Doesn't sound like it is working well for you.  Although I read some success stories here seems like the overwhelming consensus is that it is not very effective.  I hope it helps my depression and anxiety.

viibryd_vilazodone,forumstopic114131-is-this-truly-a-sign-of-a-serotonin-imbalance,1,4,"Next reply: 6 weeks later. Probably wasn't soon enough....  I hate to be this guy (actually I don't but I don't like being overtly negative), but I am wholly convinced that this current accepted practice of throwing SSRIs and/or SNRIs at people suffering from major depression is complete (or at least largely) bullsh*t. I'm not really sure how it became so widely accepted that major depressive disorder was the result of a serotonin imbalance (OR a norepinephrine imbalance) but it just doesn't make any sense. The recovery/remission rates are a joke and are also often temporary. I have a degree in psychology with an emphasis on the neuro side of it, and additionally I'm diagnosed MDD and generalized anxiety so I have a lot of personal experience dealing with this as well, and the idea that, at some point everyone seems to have decided that a lack of serotonin was the key to the problem just really drives me crazy, and I can't understand why more discussion and research isn't put into medications with more of a dopaminergic influence. I started taking Zoloft when I was 16 years old and at that time they were telling people it could potentially take up to 6 months for it to start working. It's kind of funny to me that they don't say that these days even though the chemical is exactly the same. Long story short, I took it for 6 months and felt absolutely nothing from it. A year or 2 ago (I'm 29 now) I decided to give the whole antidepressant thing another shot and was Rx'd Wellbutrin and Brintellix, which are a totally different sort of ""antidepressant"" working almost exclusively on norepinephrine (talking about Wellbutrin). It's also given to people to help them stop smoking cigarettes, and while taking it, all I felt was that my anxiety was heightened and I was now smoking way cigarettes. This could not sound more cynical but I honestly feel like most psychiatrists giving out these modern antidepressants either do not understand what major depressive disorder is really all about, or even worse, the whole industry just jumped on the SSRI bandwagon because it's become incredibly profitable, generally without fixing much of anything. During that big gap from 16 to 27 I was diagnosed with ADHD -- the inattentive type --  and was put on a psychostimulant that targets more than anything, dopaminergic activity in the brain. Upon being put on an appropriate dose of a pharmaceutical with these neuro-scientific properties, my depression all but disappeared. The point I guess I'm trying to make -- and this may be the wrong forum for it -- is that I personally feel like dopamine has to be at least part of the conversation if not out-and-out targeted when trying to help people suffering from severe depressive disorders. That, or at least people need to wake up to the fact the SSRIs are not very effective and need to be reconsidered as the be-all-end-all go-to. To me it seems like kind of a racket when there is actually a lot of research supporting the idea that there are potentially better ways of treating MDD psychopharmacologically. I think we're on the cusp of a whole new, and better, perception of what depressive disorders are, and that gives me some hope. Sorry to be so negative but at least I'm ending with genuine positivity and hope for how things go forward.  PS I apologize if I offended anyone who is on an SSRI/SNRI regiment that's working for them....I'm jealous."

viibryd_vilazodone,forumstopic115145-recently-started-taking-viibryd-looking-for-postives,1,1,I was recently given Viibryd by my doctor to treat depression.  I have tried a lot of different meds and haven't had much success.  I haven't seen many recent topics on the medicine and wondered if anyone is taking it?   And also I'm looking to find people that have had positive experiences with it.  I would love to hear your experiences.  Thank you.

viibryd_vilazodone,forumstopic115147-recently-started-taking-viibryd-looking-for-postives,1,1,Is anyone currently taking Viibryd?  I have currently been given the sample pack after other SSRI's not working have having bad side effects.  I was wondering if there is anyone currently taking this medicine and they have had some good experience's with it?  Thank you.

viibryd_vilazodone,forumstopic105846-viibryd-headaches-how-long-will-this-last,1,1,"I'm on my second week of viibryd. Started with 10 mg for one week and felt good. I'm on my 2nd day of 20 mg and both days I've had a horrible migraine. I have never suffered from headaches or migraines. I'm suppose to start 40 mg next week and that really scares me since 20 mg is affecting me this much. Will the headaches subside? Should I stick to 10 mg? Help :( (I have been on Prozac, Effexor, Zoloft, Wellbutrin, and Celexa in the past)"

viibryd_vilazodone,forumstopic105846-viibryd-headaches-how-long-will-this-last,1,2,"I also get migraines if I take too much. I have been taking every other day or only once a week. I have experimented with 10mg during the day and a 20mg once a week at night. I think that becuase of how my body processes this drug, if I have too much in my system it causes migraines. I am now starting with 5mg every day. Have done this for one week with no migraine and I feel more stable."

viibryd_vilazodone,forumstopic95903-positive-results-with-viibryd,1,1,"I know we often leave the forums when we're doing well, so the majority of the posts seem to be about side effects, etc. rather than success stories. So I thought I'd share my thoughts on Viibryd. I had taken Prozac for years; occasionally it would poop out, I'd go on something else for a few months and then I'd be good with Prozac again. I always wanted to go back to Prozac because it had basically no side effects for me. However, a year ago I went through a serious downturn with my depression, tried a few other things and nothing worked for me, and the Prozac simply stopped working period...even with a ""break"" from it, it no longer worked. So sad! Then my doctor put me on Viibryd. I had side effects the first week: dizziness and diarrhea. I didn't know if that was from stopping what I had then been switched to (my God, I don't even remember what that was now! You'd think it was a million years ago or something). Anyway, I thought it might be withdrawal and couldn't be sure, but then when I was bumped from a Viibryd starting dose (10mg) to the standard dose (20mg), the same side effects came back for a week, so I feel it was definitely the Viibryd. After another week, those side effects went away. I began to feel my depression lift a hair after about three weeks of use. I think it was at five-ish weeks that I really had that feeling of, ""This is working, this could totally work for me."" I've now been on it for five months and am doing well. ***************** With my insurance company (Cigna), I was allowed one month of insurance coverage for Viibryd. However, after that one month, I had had a free month with a coupon, the next month the insurance covered it, and the next month I found out on the day I was OUT of medicine (I had actually called it in three days earlier) that I was NOT to be covered because my doctor had NOT filled out the paperwork. Cigna claimed they had sent both myself and the doctor this letter. Nope and nope. It was a horrible, horrible experience for me. I broke down and sobbed uncontrollably and frighteningly overnight and into the next day, thinking that was it for me, no Viibryd, with NO warning about it from my insurance company, I was going to go through withdrawal, etc...it was a horrible, horrible experience for me. (As things ended up, my doctor had me come in for a week sample pack to cover the time it would take to get the paperwork filled out and approved by my insurance company.) VIIBRYD WITHOUT INSURANCE COSTS ANYWHERE FROM $300-600. The average seems to be about $500. YOUR INSURANCE MIGHT HAVE A STIPULATION LIKE MINE, WHERE YOUR DOCTOR MUST PROVE YOU HAVE ALREADY TRIED OTHER ADS from the insurance company's list. FIND OUT BEFORE YOU START VIIBRYD. , still a bit steep for many people. There is no generic yet. Hope this helps someone out there!"

