drug,brandNameDrug,medicalDrugName
Lansoprazole (Prevacid NapraPAC),Lansoprazole,Prevacid
Lansoprazole (Prevacid NapraPAC),Lansoprazole,Prevacid
Lansoprazole for Injection (Prevacid I.V.),Lansoprazole,Prevacid
"Lansoprazole, Amoxicillin and Clarithromycin (Prevpac)",Lansoprazole,Prevpac
"Lansoprazole, Amoxicillin and Clarithromycin (Prevpac)",Lansoprazole,Prevpac
Lanthanum Carbonate Chewable Tablets (Fosrenol),Lanthanum,Fosrenol
Lanthanum Carbonate Chewable Tablets (Fosrenol),Lanthanum,Fosrenol
Lantus (Insulin Glargine [rDNA origin] Injection),Lantus,Insulin
Lantus (Insulin Glargine [rDNA origin] Injection),Lantus,Insulin
Lapatinib (Tykerb),Lapatinib,Tykerb
Lapatinib (Tykerb),Lapatinib,Tykerb
Lariam (Mefloquine),Lariam,Mefloquine
Lariam (Mefloquine),Lariam,Mefloquine
"Larin Fe (Norethindrone Acetate/Ethinyl Estradiol) Tablets , USP and Ferrous Fumarate Tablets)",Larin,Norethindrone
Laronidase (Aldurazyme),Laronidase,Aldurazyme
Laronidase (Aldurazyme),Laronidase,Aldurazyme
Lartruvo (Olaratumab Injection),Lartruvo,Olaratumab
Lasix (Furosemide),Lasix,Furosemide
Lasix (Furosemide),Lasix,Furosemide
Lastacaft (Alcaftadine Ophthalmic Solution),Lastacaft,Alcaftadine
Lastacaft (Alcaftadine Ophthalmic Solution),Lastacaft,Alcaftadine
Latanoprost Ophthalmic (Xalatan),Latanoprost,Xalatan
Latanoprost Ophthalmic (Xalatan),Latanoprost,Xalatan
Latisse (Bimatoprost Ophthalmic Solution 0.03% for Hypotrichosis),Latisse,Bimatoprost
Latisse (Bimatoprost Ophthalmic Solution 0.03% for Hypotrichosis),Latisse,Bimatoprost
Latuda (Lurasidone HCL Tablets for Oral Administration),Latuda,Lurasidone
Latuda (Lurasidone HCL Tablets for Oral Administration),Latuda,Lurasidone
Laviv (Autologous Cellular Product for Intradermal Injection),Laviv,Autologous
Lazanda (Fentanyl Nasal Spray),Lazanda,Fentanyl
Lazanda (Fentanyl Nasal Spray),Lazanda,Fentanyl
Ledipasvir and Sofosbuvir Tablets (Harvoni),Ledipasvir,Harvoni
Leflunomide (Arava),Leflunomide,Arava
Leflunomide (Arava),Leflunomide,Arava
Lemtrada (Alemtuzumab Injection for Intravenous Infusion),Lemtrada,Alemtuzumab
Lenalidomide (Revlimid),Lenalidomide,Revlimid
Lenalidomide (Revlimid),Lenalidomide,Revlimid
Lenvatinib Capsules (Lenvima),Lenvatinib,Lenvima
Lenvima (Lenvatinib Capsules),Lenvima,Lenvatinib
Lepirudin (Refludan),Lepirudin,Refludan
Lepirudin (Refludan),Lepirudin,Refludan
Lescol (Fluvastatin Sodium),Lescol,Fluvastatin
Lescol (Fluvastatin Sodium),Lescol,Fluvastatin
Letairis (Ambrisentan Tablets),Letairis,Ambrisentan
Letairis (Ambrisentan Tablets),Letairis,Ambrisentan
Letrozole (Femara),Letrozole,Femara
Letrozole (Femara),Letrozole,Femara
Leucovorin Calcium (Leucovorin Calcium Injection),Leucovorin,Leucovorin
Leucovorin Calcium (Leucovorin Calcium Tablets),Leucovorin,Leucovorin
Leucovorin Calcium (Leucovorin Calcium Tablets),Leucovorin,Leucovorin
Leucovorin Calcium Injection (Leucovorin Calcium),Leucovorin,Leucovorin
Leucovorin Calcium Tablets (Leucovorin Calcium),Leucovorin,Leucovorin
Leucovorin Calcium Tablets (Leucovorin Calcium),Leucovorin,Leucovorin
Leukeran (Chlorambucil),Leukeran,Chlorambucil
Leukeran (Chlorambucil),Leukeran,Chlorambucil
Leukine (Sargramostim),Leukine,Sargramostim
Leukine (Sargramostim),Leukine,Sargramostim
Leuprolide Acetate (Eligard),Leuprolide,Eligard
Leuprolide Acetate (Eligard),Leuprolide,Eligard
Leuprolide Acetate for Depot Suspension (Lupron Depot),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension (Lupron Depot),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension (Lupron Depot 11.25 mg),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension (Lupron Depot 11.25 mg),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension (Lupron Depot 7.5 mg),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension (Lupron Depot 7.5 mg),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension Injection (Lupron Depot 22.5),Leuprolide,Lupron
Leuprolide Acetate for Depot Suspension Injection (Lupron Depot 22.5),Leuprolide,Lupron
Leuprolide Acetate Implant (Viadur),Leuprolide,Viadur
Leuprolide Acetate Injection (Lupron),Leuprolide,Lupron
Leuprolide Acetate Injection (Lupron),Leuprolide,Lupron
Leuprolide Acetate Injection (Lupron Depot 3.75 mg),Leuprolide,Lupron
Leuprolide Acetate Injection (Lupron Depot 3.75 mg),Leuprolide,Lupron
Leuprolide Acetate Injection (Lupron Depot Pediatric),Leuprolide,Lupron
Leuprolide Acetate Injection (Lupron Depot Pediatric),Leuprolide,Lupron
Leustatin (Cladribine Injection For Intravenous Infusion Only),Leustatin,Cladribine
Leustatin (Cladribine Injection For Intravenous Infusion Only),Leustatin,Cladribine
Levalbuterol (Xopenex),Levalbuterol,Xopenex
Levalbuterol (Xopenex),Levalbuterol,Xopenex
Levalbuterol Tartrate Inhalation Aerosol (Xopenex HFA),Levalbuterol,Xopenex
Levalbuterol Tartrate Inhalation Aerosol (Xopenex HFA),Levalbuterol,Xopenex
Levaquin (Levofloxacin),Levaquin,Levofloxacin
Levaquin (Levofloxacin),Levaquin,Levofloxacin
Levatol (penbutolol sulfate),Levatol,penbutolol
Levatol (penbutolol sulfate),Levatol,penbutolol
Levbid Extended Release (Hysocyamine Sulfate Extended Release Tablets),Levbid,Hysocyamine
Levbid Extended Release (Hysocyamine Sulfate Extended Release Tablets),Levbid,Hysocyamine
Levemir (Insulin Detemir),Levemir,Insulin
Levemir (Insulin Detemir),Levemir,Insulin
Levetiracetam (Keppra),Levetiracetam,Keppra
Levetiracetam (Keppra),Levetiracetam,Keppra
Levetiracetam (Keppra Injection),Levetiracetam,Keppra
"Levetiracetam (Levetiracetam Injection, Solution, and Concentrate)",Levetiracetam,Levetiracetam
Levetiracetam Extended-release Tablets (Elepsia XR),Levetiracetam,Elepsia
Levetiracetam Extended-Release Tablets (Keppra XR),Levetiracetam,Keppra
Levetiracetam Extended-Release Tablets (Keppra XR),Levetiracetam,Keppra
"Levetiracetam Injection, Solution, and Concentrate (Levetiracetam)",Levetiracetam,Levetiracetam
Levetiracetam Tablets (Spritam),Levetiracetam,Spritam
Levitra (Vardenafil HCl),Levitra,Vardenafil
Levitra (Vardenafil HCl),Levitra,Vardenafil
Levo Dromoran (Levorphanol),Levo,Levorphanol
Levo Dromoran (Levorphanol),Levo,Levorphanol
Levo-T (Levothyroxine Sodium Tablets),Levo-T,Levothyroxine
Levobetaxolol Hydrochloride Ophthalmic Suspension (Betaxon),Levobetaxolol,Betaxon
Levobunolol (Betagan),Levobunolol,Betagan
Levobunolol (Betagan),Levobunolol,Betagan
Levocabastine (Livostin),Levocabastine,Livostin
Levocarnitine Injection (Carnitor Injection),Levocarnitine,Carnitor
"Levocarnitine Tablets, Oral Solution, Sugar-Free (Carnitor)",Levocarnitine,Carnitor
Levocetirizine Dihydrochloride (Xyzal),Levocetirizine,Xyzal
Levocetirizine Dihydrochloride (Xyzal),Levocetirizine,Xyzal
Levodopa (Dopar),Levodopa,Dopar
Levofloxacin (Levaquin),Levofloxacin,Levaquin
Levofloxacin (Levaquin),Levofloxacin,Levaquin
Levofloxacin Ophthalmic Solution 0.5% (Quixin),Levofloxacin,Quixin
Levofloxacin Ophthalmic Solution 0.5% (Quixin),Levofloxacin,Quixin
Levofloxacin Ophthalmic Solution 1.5% (Iquix),Levofloxacin,Iquix
levoleucovorin (Fusilev),levoleucovorin,Fusilev
levoleucovorin (Fusilev),levoleucovorin,Fusilev
Levoleucovorin (Levoleucovorin),Levoleucovorin,Levoleucovorin
Levoleucovorin (Levoleucovorin),Levoleucovorin,Levoleucovorin
Levomethadyl Acetate (Orlaam),Levomethadyl,Orlaam
Levomilnacipran Extended-release Capsules (Fetzima),Levomilnacipran,Fetzima
levonorgestrel (Kyleena),levonorgestrel,Kyleena
Levonorgestrel (Plan B),Levonorgestrel,Plan
Levonorgestrel (Plan B),Levonorgestrel,Plan
Levonorgestrel and Ethinyl Estradiol (Alesse),Levonorgestrel,Alesse
Levonorgestrel and Ethinyl Estradiol (Alesse),Levonorgestrel,Alesse
Levonorgestrel and Ethinyl Estradiol (Lutera),Levonorgestrel,Lutera
Levonorgestrel and Ethinyl Estradiol (Lutera),Levonorgestrel,Lutera
Levonorgestrel and Ethinyl Estradiol (Trivora-28),Levonorgestrel,Trivora-28
Levonorgestrel and Ethinyl Estradiol (Trivora-28),Levonorgestrel,Trivora-28
Levonorgestrel and Ethinyl Estradiol Tablets (Aviane),Levonorgestrel,Aviane
Levonorgestrel and Ethinyl Estradiol Tablets (Aviane),Levonorgestrel,Aviane
Levonorgestrel and Ethinyl Estradiol Tablets (Levora),Levonorgestrel,Levora
Levonorgestrel and Ethinyl Estradiol Tablets (Levora),Levonorgestrel,Levora
Levonorgestrel and Ethinyl Estradiol Tablets (Nordette-28),Levonorgestrel,Nordette-28
Levonorgestrel and Ethinyl Estradol Tablets (Lybrel),Levonorgestrel,Lybrel
Levonorgestrel and Ethinyl Estradol Tablets (Lybrel),Levonorgestrel,Lybrel
Levonorgestrel Implants (Unavailable in US) (Jadelle),Levonorgestrel,Unavailable
Levonorgestrel Implants (Unavailable in US) (Norplant),Levonorgestrel,Unavailable
Levonorgestrel Tablet (Plan B One-Step),Levonorgestrel,Plan
Levonorgestrel Tablet (Plan B One-Step),Levonorgestrel,Plan
"Levonorgestrel Tablet, 1.5 mg (Athentia Next)",Levonorgestrel,Athentia
Levonorgestrel Tablets (Next Choice),Levonorgestrel,Next
Levonorgestrel Tablets (Next Choice),Levonorgestrel,Next
"Levonorgestrel, Ethinyl Estradiol (Seasonale)",Levonorgestrel,Seasonale
"Levonorgestrel, Ethinyl Estradiol (Seasonale)",Levonorgestrel,Seasonale
"Levonorgestrel, Ethinyl Estradiol (Seasonique)",Levonorgestrel,Seasonique
"Levonorgestrel, Ethinyl Estradiol (Seasonique)",Levonorgestrel,Seasonique
Levonorgestrel-releasing Intrauterine System (Liletta),Levonorgestrel-releasing,Liletta
Levonorgestrel-Releasing Intrauterine System (Mirena),Levonorgestrel-Releasing,Mirena
Levonorgestrel-Releasing Intrauterine System (Mirena),Levonorgestrel-Releasing,Mirena
Levonorgestrel-Releasing Intrauterine System (Skyla),Levonorgestrel-Releasing,Skyla
Levophed (Norepinephrine Bitartrate),Levophed,Norepinephrine
Levophed (Norepinephrine Bitartrate),Levophed,Norepinephrine
Levora (Levonorgestrel and Ethinyl Estradiol Tablets),Levora,Levonorgestrel
Levora (Levonorgestrel and Ethinyl Estradiol Tablets),Levora,Levonorgestrel
Levorphanol (Levo Dromoran),Levorphanol,Levo
Levorphanol (Levo Dromoran),Levorphanol,Levo
Levothroid (Levothyroxine Sodium),Levothroid,Levothyroxine
Levothroid (Levothyroxine Sodium),Levothroid,Levothyroxine
Levothyroxine Sodium (Levothroid),Levothyroxine,Levothroid
Levothyroxine Sodium (Levothroid),Levothyroxine,Levothroid
"Levothyroxine Sodium (Levothyroxine Sodium Anhydrous Injection, Powder, Lyophilized, for Solution)",Levothyroxine,Levothyroxine
Levothyroxine Sodium (Levoxyl),Levothyroxine,Levoxyl
Levothyroxine Sodium (Levoxyl),Levothyroxine,Levoxyl
Levothyroxine Sodium (Synthroid),Levothyroxine,Synthroid
Levothyroxine Sodium (Synthroid),Levothyroxine,Synthroid
Levothyroxine Sodium (Thyro-Tabs),Levothyroxine,Thyro-Tabs
Levothyroxine Sodium (Unithroid),Levothyroxine,Unithroid
Levothyroxine Sodium (Unithroid),Levothyroxine,Unithroid
"Levothyroxine Sodium Anhydrous Injection, Powder, Lyophilized, for Solution (Levothyroxine Sodium)",Levothyroxine,Levothyroxine
Levothyroxine Sodium Capsules (Tirosint),Levothyroxine,Tirosint
Levothyroxine Sodium Capsules (Tirosint),Levothyroxine,Tirosint
Levothyroxine Sodium Tablets (Levo-T),Levothyroxine,Levo-T
Levothyroxine Sodium Tablets (Novothyrox),Levothyroxine,Novothyrox
Levoxyl (Levothyroxine Sodium),Levoxyl,Levothyroxine
Levoxyl (Levothyroxine Sodium),Levoxyl,Levothyroxine
Levsin (Hyoscyamine),Levsin,Hyoscyamine
Levsin (Hyoscyamine),Levsin,Hyoscyamine
Levsin SL (Hyoscyamine Sulfate Tablets),Levsin,Hyoscyamine
Levsin SL (Hyoscyamine Sulfate Tablets),Levsin,Hyoscyamine
Levulan Kerastick (Aminolevulinic Acid),Levulan,Aminolevulinic
Levulan Kerastick (Aminolevulinic Acid),Levulan,Aminolevulinic
Lexapro (Escitalopram Oxalate),Lexapro,Escitalopram
Lexapro (Escitalopram Oxalate),Lexapro,Escitalopram
Lexiscan (Regadenoson Injection),Lexiscan,Regadenoson
Lexiscan (Regadenoson Injection),Lexiscan,Regadenoson
Lexiva (Fosamprenavir Calcium),Lexiva,Fosamprenavir
Lexiva (Fosamprenavir Calcium),Lexiva,Fosamprenavir
Lexxel (Enalapril Maleate-Felodipine),Lexxel,Enalapril
Lialda (Mesalamine),Lialda,Mesalamine
Lialda (Mesalamine),Lialda,Mesalamine
Librax (Chlordiazepoxide and Clidinium),Librax,Chlordiazepoxide
Librax (Chlordiazepoxide and Clidinium),Librax,Chlordiazepoxide
Librium (Chlordiazepoxide),Librium,Chlordiazepoxide
Librium (Chlordiazepoxide),Librium,Chlordiazepoxide
LidaMantle (Lidocaine HCl),LidaMantle,Lidocaine
LidaMantle (Lidocaine HCl),LidaMantle,Lidocaine
Lidex (Fluocinonide),Lidex,Fluocinonide
Lidex (Fluocinonide),Lidex,Fluocinonide
Lidocaine (Xylocaine),Lidocaine,Xylocaine
Lidocaine (Xylocaine),Lidocaine,Xylocaine
Lidocaine 0.3% Injectable Gel (Restylane Silk),Lidocaine,Restylane
Lidocaine and Prilocaine (Emla),Lidocaine,Emla
Lidocaine and Prilocaine (Emla),Lidocaine,Emla
Lidocaine and Prilocaine Periodontal Gel (Oraqix),Lidocaine,Oraqix
Lidocaine and Tetracaine (Pliaglis),Lidocaine,Pliaglis
Lidocaine and Tetracaine (Synera),Lidocaine,Synera
Lidocaine HCl (LidaMantle),Lidocaine,LidaMantle
Lidocaine HCl (LidaMantle),Lidocaine,LidaMantle
lidocaine HCl and epinephrine (Xylocaine),lidocaine,Xylocaine
Lidocaine HCl Sterile Solution (Xylocaine MPF Sterile Solution),Lidocaine,Xylocaine
Lidocaine HCl Sterile Solution (Xylocaine MPF Sterile Solution),Lidocaine,Xylocaine
Lidocaine Hydrochloride Monohydrate (Zingo),Lidocaine,Zingo
Lidocaine Hydrochloride Ophthalmic Gel (Akten),Lidocaine,Akten
Lidocaine Hydrochloride Solution (Xylocaine Viscous),Lidocaine,Xylocaine
Lidocaine Hydrochloride Solution (Xylocaine Viscous),Lidocaine,Xylocaine
Lidocaine Patch 5% (Lidoderm),Lidocaine,Lidoderm
Lidocaine Patch 5% (Lidoderm),Lidocaine,Lidoderm
Lidoderm (Lidocaine Patch 5%),Lidoderm,Lidocaine
Lidoderm (Lidocaine Patch 5%),Lidoderm,Lidocaine
"Lifitegrast Ophthalmic Solution, 5% (Xiidra)",Lifitegrast,Xiidra
Liletta (Levonorgestrel-releasing Intrauterine System),Liletta,Levonorgestrel-releasing
Limbitrol (Chlordiazepoxide Amitriptyline DS Tablets),Limbitrol,Chlordiazepoxide
Limbitrol (Chlordiazepoxide Amitriptyline DS Tablets),Limbitrol,Chlordiazepoxide
Limbrel (Flavocoxid),Limbrel,Flavocoxid
Limbrel (Flavocoxid),Limbrel,Flavocoxid
Linaclotide Capsules (Linzess),Linaclotide,Linzess
Linaclotide Capsules (Linzess),Linaclotide,Linzess
Linagliptin (Tradjenta),Linagliptin,Tradjenta
Linagliptin (Tradjenta),Linagliptin,Tradjenta
Linagliptin and Metformin Hydrochloride (Jentadueto),Linagliptin,Jentadueto
Linagliptin and Metformin Hydrochloride (Jentadueto),Linagliptin,Jentadueto
Linagliptin and Metformin Hydrochloride Extended-release Tablets (Jentadueto XR),Linagliptin,Jentadueto
Lincocin (Lincomycin Hcl),Lincocin,Lincomycin
Lincocin (Lincomycin Hcl),Lincocin,Lincomycin
Lincomycin Hcl (Lincocin),Lincomycin,Lincocin
Lincomycin Hcl (Lincocin),Lincomycin,Lincocin
Lindane Lotion (Lindane Lotion),Lindane,Lindane
Lindane Lotion (Lindane Lotion),Lindane,Lindane
Lindane Shampoo (Lindane Shampoo),Lindane,Lindane
Lindane Shampoo (Lindane Shampoo),Lindane,Lindane
Linezolid (Zyvox),Linezolid,Zyvox
Linezolid (Zyvox),Linezolid,Zyvox
Linzess (Linaclotide Capsules),Linzess,Linaclotide
Linzess (Linaclotide Capsules),Linzess,Linaclotide
Lioresal Intrathecal (Baclofen Injection),Lioresal,Baclofen
Liothyronine Sodium (Cytomel),Liothyronine,Cytomel
Liothyronine Sodium (Cytomel),Liothyronine,Cytomel
Liothyronine Sodium Injection (Triostat),Liothyronine,Triostat
Liotrix (Thyrolar),Liotrix,Thyrolar
Liotrix (Thyrolar),Liotrix,Thyrolar
Lipid Injectable Emulsion for Intravenous Use (Clinolipid),Lipid,Clinolipid
Lipiodol (Ethiodized Oil Injection),Lipiodol,Ethiodized
Lipirinen™ Capsules (Vayarin),Lipirinen,Vayarin
Lipitor (Atorvastatin Calcium),Lipitor,Atorvastatin
Lipitor (Atorvastatin Calcium),Lipitor,Atorvastatin
Lipofen (Fenofibrate),Lipofen,Fenofibrate
Lipofen (Fenofibrate),Lipofen,Fenofibrate
Lipoprotein Outer Surface A Vaccine (Lymerix),Lipoprotein,Lymerix
Liposyn II (Intravenous Fat Emulsion),Liposyn,Intravenous
Liposyn III (Intravenous Fat Emulsion),Liposyn,Intravenous
Liposyn III 30 (Liposyn III 30 Intravenous Far Emulsion),Liposyn,Liposyn
Liposyn III 30 Intravenous Far Emulsion (Liposyn III 30),Liposyn,Liposyn
Liptruzet (Ezetimibe and Atorvastatin Tablets),Liptruzet,Ezetimibe
Liraglutide [rDNA Origin] Injection (Saxenda),Liraglutide,Saxenda
Liraglutide [rDNA] Injection (Victoza),Liraglutide,Victoza
Liraglutide [rDNA] Injection (Victoza),Liraglutide,Victoza
Lisdexamfetamine Dimesylate (Vyvanse),Lisdexamfetamine,Vyvanse
Lisdexamfetamine Dimesylate (Vyvanse),Lisdexamfetamine,Vyvanse
Lisinopril (Prinivil),Lisinopril,Prinivil
Lisinopril (Prinivil),Lisinopril,Prinivil
Lisinopril (Zestril),Lisinopril,Zestril
Lisinopril (Zestril),Lisinopril,Zestril
Lisinopril and Hydrochlorothiazide (Prinzide),Lisinopril,Prinzide
Lisinopril and Hydrochlorothiazide (Prinzide),Lisinopril,Prinzide
Lisinopril and Hydrochlorothiazide (Zestoretic),Lisinopril,Zestoretic
Lisinopril and Hydrochlorothiazide (Zestoretic),Lisinopril,Zestoretic
Lisinopril Tablets (Qbrelis),Lisinopril,Qbrelis
Lithium Carbonate (Eskalith),Lithium,Eskalith
Lithium Carbonate (Eskalith),Lithium,Eskalith
Lithium Carbonate Tablets (Lithobid),Lithium,Lithobid
Lithobid (Lithium Carbonate Tablets),Lithobid,Lithium
Livalo (Pitavastatin),Livalo,Pitavastatin
Livalo (Pitavastatin),Livalo,Pitavastatin
Liver-Stomach Concentrate With Intrinsic Factor (B12),Liver-Stomach,B12
Livostin (Levocabastine),Livostin,Levocabastine
Lixisenatide Injection (Adlyxin),Lixisenatide,Adlyxin
"Lo Loestrin FE (Norethindrone Acetate and Ethinyl Estradiol, Ethinyl Estradiol Tablets)",Lo,Norethindrone
Lo Ovral (Norgestrel And Ethinyl Estradiol),Lo,Norgestrel
Lo Ovral (Norgestrel And Ethinyl Estradiol),Lo,Norgestrel
"Locoid Cream, Ointment, and  Solution (Hydrocortisone Butyrate  Cream, Ointment, and Solution)",Locoid,Hydrocortisone
"Locoid Cream, Ointment, and  Solution (Hydrocortisone Butyrate  Cream, Ointment, and Solution)",Locoid,Hydrocortisone
Locoid Lipocream (Hydrocortisone Butyrate),Locoid,Hydrocortisone
Locoid Lipocream (Hydrocortisone Butyrate),Locoid,Hydrocortisone
Locoid Lotion (Hydrocortisone Butyrate Lotion),Locoid,Hydrocortisone
Lodine (Etodolac),Lodine,Etodolac
Lodine (Etodolac),Lodine,Etodolac
Lodosyn (Carbidopa),Lodosyn,Carbidopa
Lodosyn (Carbidopa),Lodosyn,Carbidopa
Lodoxamide Tromethamine (Alomide),Lodoxamide,Alomide
Lodoxamide Tromethamine (Alomide),Lodoxamide,Alomide
Loestrin 24 Fe (Norethindrone Acetate and Ethinyl Estradiol),Loestrin,Norethindrone
Loestrin 24 Fe (Norethindrone Acetate and Ethinyl Estradiol),Loestrin,Norethindrone
Lok Pak (Heparin Lock Flush Solution),Lok,Heparin
LoKara (Desonide Lotion 0.05%),LoKara,Desonide
LoKara (Desonide Lotion 0.05%),LoKara,Desonide
"Lomaira (Phentermine Hydrochloride Tablets, USP)",Lomaira,Phentermine
Lomefloxacin Hcl (Maxaquin),Lomefloxacin,Maxaquin
Lomitapide Capsules (Juxtapid),Lomitapide,Juxtapid
Lomitapide Capsules (Juxtapid),Lomitapide,Juxtapid
Lomotil (Diphenoxylate and Atropine),Lomotil,Diphenoxylate
Lomotil (Diphenoxylate and Atropine),Lomotil,Diphenoxylate
Lomustine Capsules (CeeNU),Lomustine,CeeNU
Lomustine Capsules (CeeNU),Lomustine,CeeNU
Lomustine Capsules (Gleostine),Lomustine,Gleostine
"Loniten (Minoxidil Tablets, USP)",Loniten,Minoxidil
Lonsurf (Trifluridine and Tipiracil Tablets),Lonsurf,Trifluridine
Loperamide Hcl (Imodium),Loperamide,Imodium
Loperamide Hcl (Imodium),Loperamide,Imodium
Lopid (Gemfibrozil),Lopid,Gemfibrozil
Lopid (Gemfibrozil),Lopid,Gemfibrozil
"Lopinavir, Ritonavir Capsules (Kaletra Capsules)",Lopinavir,Kaletra
"Lopinavir, Ritonavir Capsules (Kaletra Capsules)",Lopinavir,Kaletra
"Lopinavir, Ritonavir Tablets (Kaletra Tablets)",Lopinavir,Kaletra
"Lopinavir, Ritonavir Tablets (Kaletra Tablets)",Lopinavir,Kaletra
Lopressor (Metoprolol Tartrate),Lopressor,Metoprolol
Lopressor (Metoprolol Tartrate),Lopressor,Metoprolol
Lopressor HCT (Metoprolol Tartrate and Hydochlorothiazide),Lopressor,Metoprolol
Lopressor HCT (Metoprolol Tartrate and Hydochlorothiazide),Lopressor,Metoprolol
Lopressor Injection (Metoprolol Tartrate Injection),Lopressor,Metoprolol
Loprox Cream (Ciclopirox Cream),Loprox,Ciclopirox
Loprox Cream (Ciclopirox Cream),Loprox,Ciclopirox
Loprox Gel (Ciclopirox Gel),Loprox,Ciclopirox
Loprox Gel (Ciclopirox Gel),Loprox,Ciclopirox
Loprox Lotion (Ciclopirox Lotion),Loprox,Ciclopirox
Loprox Lotion (Ciclopirox Lotion),Loprox,Ciclopirox
Loprox Shampoo (Ciclopirox Shampoo),Loprox,Ciclopirox
Loprox Shampoo (Ciclopirox Shampoo),Loprox,Ciclopirox
Lorabid (Loracarbef),Lorabid,Loracarbef
Loracarbef (Lorabid),Loracarbef,Lorabid
Loratadine (Claritin),Loratadine,Claritin
Loratadine (Claritin),Loratadine,Claritin
Loratadine and Pseudoephedrine (Claritin D),Loratadine,Claritin
Loratadine and Pseudoephedrine (Claritin D),Loratadine,Claritin
Lorazepam (Ativan),Lorazepam,Ativan
Lorazepam (Ativan),Lorazepam,Ativan
Lorazepam Injection (Ativan Injection),Lorazepam,Ativan
Lorcaserin Hydrochloride (Belviq),Lorcaserin,Belviq
Lorcaserin Hydrochloride (Belviq),Lorcaserin,Belviq
Lorcaserin Hydrochloride Extended Release Tablets (Belviq XR),Lorcaserin,Belviq
Lorcaserin Hydrochloride Extended-Release Tablet (Viekira XR),Lorcaserin,Viekira
Lorcet  (Hydrocodone Bitartrate and Acetaminophen Tablet),Lorcet,Hydrocodone
Lorcet  (Hydrocodone Bitartrate and Acetaminophen Tablet),Lorcet,Hydrocodone
Lortab 10 (Hydrocodone Bitartrate and Acetaminophen Tablets),Lortab,Hydrocodone
Lortab 10 (Hydrocodone Bitartrate and Acetaminophen Tablets),Lortab,Hydrocodone
Lortab 2.5 (Hydrocodone Bitartrate and Acetaminophen Tablets),Lortab,Hydrocodone
Lortab 2.5 (Hydrocodone Bitartrate and Acetaminophen Tablets),Lortab,Hydrocodone
